Category,Item Number,Item,King Kullen,Aldi,Stop & Shop,Whole Foods,Target,Costco,Best Price,Best Store
Snacks & Beverages,,Apple Juice,,,2.5,,,,2.5,Stop & Shop
Produce,,Apples (Gala),6.15,5.22,5.82,,,,5.22,Aldi
Produce,,Apples (Sugarbee),,,,7.3,,,7.3,Whole Foods
Produce,,Avocado,1.25,0.79,0.99,1.25,,,0.79,Aldi
Produce,,Baby Bella Mushrooms,,,,2.79,,,2.79,Whole Foods
Snacks/Misc,,Bakehouse CS-Choc,,,1,,,,1,Stop & Shop
Produce,,Bananas,1.52,1.18,1.31,,,,1.18,Aldi
Spices,,Basil,,,1.25,,,,1.25,Stop & Shop
"Pantry, Spices & Dry Goods",,Black Beans,,,0.89,,,,0.89,Stop & Shop
Produce,,Blueberries,3.99,2.99,3.5,,,,2.99,Aldi
"Pantry, Spices & Dry Goods",,Bread (Wheat),2.49,1.99,2.29,,,,1.99,Aldi
Produce,,Broccoli,2.19,1.79,1.99,,,,1.79,Aldi
"Dairy, Meat & Refrigerated",,Butter,4.99,3.99,4.49,,,,3.99,Aldi
"Dairy, Meat & Refrigerated",,Cabot Shredded Cheddar,,,4.99,,,,4.99,Stop & Shop
"Pantry, Spices & Dry Goods",,Canola Oil,,,6.49,,,,6.49,Stop & Shop
Produce,,Carrots,1.5,0.99,1.25,,,,0.99,Aldi
Produce,,Carrots (Organic),,,,2.49,,,2.49,Whole Foods
Spices,,Cayenne,,,1.25,,,,1.25,Stop & Shop
"Dairy, Meat & Refrigerated",,Cheese Slices,3.99,2.99,3.5,,,,2.99,Aldi
"Dairy, Meat & Refrigerated",,Chicken Breast,9.42,7.54,8.49,,,,7.54,Aldi
Spices,,Chili Powder,,,1.25,,,,1.25,Stop & Shop
"Pantry, Spices & Dry Goods",,Coffee (Lavazza) 2.2lb,,,,22.79,,,22.79,Whole Foods
"Pantry, Spices & Dry Goods",,Coffee Beans,,,11.99,,,,11.99,Stop & Shop
Produce,,Cucumber,0.79,0.59,0.69,,,,0.59,Aldi
Spices,,Cumin,,,1.25,,,,1.25,Stop & Shop
"Dairy, Meat & Refrigerated",,Eggs (Large),2.99,2.29,2.69,,,,2.29,Aldi
Dairy/Refrig,,Eggs (Large/Extra Large),2.99,2.29,2.69,,,,2.29,Aldi
"Pantry, Spices & Dry Goods",,Flour (5lb),,,3.79,,,,3.79,Stop & Shop
